Pair,Date,Keeper,Cleaning (Y/N),"Breeding (N, Sit, Chick, Molt)",Hack Box Male (Y/N),Window Attacking Male (Y/N),Alarm Calls Male (#),Alarm Calls Female (#),Directed Non-Alarm Calls Male (#),Directed Non-Alarm Calls Female (#),Non-Directed Non-Alarm Calls Male (#),Non-Directed Non-Alarm Calls Female (#),Food Timing Male,Food Timing Female,Wait Location Male,Wait Location Female,Start Time,End Time,Length,Length (in seconds),Notes,Afternoon Alarm Calls Male (#),Afternoon Alarm Calls Female (#),Afternoon Directed Non-Alarm Calls Male (#),Afternoon Directed Non-Alarm Calls Female (#),Afternoon Non-Directed Non-Alarm Calls Male (#), Afternoon Non-Directed Non-Alarm Calls Female (#),Afternoon Food Timing Male,Afternoon Food Timing Female,Afternoon Wait Location Male,Afternoon Wait Location Female,Afternoon Start Time,Afternoon End Time,Afternoon Length,Afternoon Length (in seconds),Afternoon Notes
AL161_AL167,29-May,Kaleo,Y,Sit,N,N,0,0,0,0,0,0,2,0,0,0,10:26:42 AM,10:33:00 AM,0:06:18,378,,0,0,0,0,0,0,2,2,1,1,2:12:20 PM,2:13:30 PM,0:01:10,70,
AL198_AL201,29-May,Kaleo,Y,N,N,N,0,0,0,9,0,0,2,2,1,2,7:59:19 AM,8:05:15 AM,0:05:56,356,,0,0,0,0,1,5,2,2,1,2,1:28:45 PM,1:30:06 PM,0:01:21,81,
AL195_AL164,29-May,Kaleo,Y,N,N,N,0,0,0,3,0,23,2,0,2,2,7:48:58 AM,7:56:11 AM,0:07:13,433,,0,0,0,0,0,5,2,2,2,1,1:19:51 PM,1:21:17 PM,0:01:26,86,
AL122_AL194,29-May,Kaleo,Y,Sit,N,N,0,0,0,0,0,0,0,0,0,0,8:54:23 AM,9:03:05 AM,0:08:42,522,,0,0,0,0,36,0,0,2,0,1,1:50:16 PM,1:51:18 PM,0:01:02,62,
AL197_AL209,29-May,Kaleo,Y,N,N,N,0,0,0,0,0,0,1,2,1,1,8:22:50 AM,8:29:14 AM,0:06:24,384,,0,0,0,0,0,0,2,1,1,2,1:45:57 PM,1:47:21 PM,0:01:24,84,
AL114_AL147,29-May,Kaleo,Y,Sit,N,N,0,0,0,0,40,0,0,2,0,0,8:09:29 AM,8:18:18 AM,0:08:49,529,,0,0,0,0,2,2,1,1,2,0,1:33:15 PM,1:35:02 PM,0:01:47,107,
AL184_AL124,29-May,Kaleo,N,N,N,N,0,0,3,1,3,8,2,2,2,2,7:19:37 AM,7:23:41 AM,0:04:04,244,About 4 Fnon were begs,0,0,3,0,2,7,2,2,2,2,1:02:54 PM,1:06:43 PM,0:03:49,229,All F non begs
AL178_AL181,29-May,Kaleo,N,N,N,N,0,0,1,2,16,0,1,2,0,2,7:13:39 AM,7:16:49 AM,0:03:10,190,,0,0,3,0,4,0,2,2,2,2,12:59:20 PM,1:01:31 PM,0:02:11,131,
AL155_AL154,29-May,Kaleo,N,N,N,N,0,0,2,0,39,2,0,1,0,0,7:04:49 AM,7:08:16 AM,0:03:27,207,Fnon is begging,0,0,0,0,1,1,2,2,2,2,12:54:30 PM,12:55:34 PM,0:01:04,64,Fnon is begging
AL149_AL091,29-May,Kaleo,N,N,N,N,0,0,0,0,0,11,2,2,0,0,6:58:31 AM,7:01:31 AM,0:03:00,180,Fnon is begging,0,0,0,0,0,0,1,1,1,0,12:49:12 PM,12:50:45 PM,0:01:33,93,
